	V1	meanHet	SE_het	NAs	population	group	knnImputed	binomImputed	binomPopulation
151	RB_01_94122_HFNFVBBXY	0.2816500711237553	0.009069133403851428	85.0	RB_01	RB	0.2789425706472197	0.2894257	0.3094804
152	RB_02_1018_HFGGJBBXY	0.26711970726607426	0.009776307044087792	281.0	RB_02	RB	0.26435733819507745	0.29990885	0.23290794
153	RB_02_1027_HFNFVBBXY	0.23643603782976608	0.009780016093325735	185.0	RB_02	RB	0.23655423883318139	0.25660893	0.3008204
154	RB_02_1032_HFNFVBBXY	0.22572695909314933	0.009649361952682355	165.0	RB_02	RB	0.22333637192342748	0.24794894	0.20875114
155	RB_02_1038_HFNFVBBXY	0.2715454983148772	0.01080925922759837	117.0	RB_02	RB	0.2670920692798542	0.28350046	0.310392
156	RB_02_1049_HFNFVBBXY	0.22827346465816922	0.009505131268449582	468.0	RB_02	RB	0.22926162260711025	0.29216045	0.3928897
157	RB_02_1050_HFNFVBBXY	0.2712765957446809	0.00978746448457914	126.0	RB_02	RB	0.26663628076572465	0.28304467	0.3131267
158	RB_02_1051_HFNFVBBXY	0.2682215743440233	0.00989587210067739	136.0	RB_02	RB	0.26253418413855967	0.28486782	0.25159526
159	RB_02_1052_HFNFVBBXY	0.23718592964824126	0.00961813415082622	204.0	RB_02	RB	0.23199635369188698	0.26481313	0.30811304
160	RB_02_1053_HFNFVBBXY	0.24563155267099346	0.009009389278250624	191.0	RB_02	RB	0.24247948951686416	0.26025525	0.22424795
161	RB_02_1054_HFNFVBBXY	0.22828185328185324	0.008285718159017743	122.0	RB_02	RB	0.22652689152233363	0.24065633	0.21558797
162	RB_02_1055_HFNFVBBXY	0.21105527638190957	0.009465438062718637	204.0	RB_02	RB	0.20966271649954427	0.23199636	0.28441203
163	RB_02_1057_HFNFVBBXY	0.2160945413618458	0.010463772379859309	417.0	RB_02	RB	0.21649954421148587	0.26390156	0.1750228
164	RB_02_1060_HFNFVBBXY	0.2688223938223938	0.009660900234285631	122.0	RB_02	RB	0.26435733819507745	0.2784868	0.3094804
165	RB_02_1062_HFNFVBBXY	0.2273915316257188	0.009865869914516627	281.0	RB_02	RB	0.22196900638103922	0.25250682	0.32634458
166	RB_02_1064_HFNFVBBXY	0.24517374517374513	0.008147105184328816	122.0	RB_02	RB	0.24202370100273474	0.2575205	0.28714678
167	RB_02_137_HFNFVBBXY	0.2234305486900643	0.010129342749528219	171.0	RB_02	RB	0.2260711030082042	0.24293528	0.28395623
168	RB_02_139_HFNFVBBXY	0.2646474677259185	0.010098421816346128	180.0	RB_02	RB	0.2652689152233364	0.28760254	0.24293528
169	RB_03_136_HFNFVBBXY	0.24675324675324672	0.009911198335079021	269.0	RB_03	RB	0.2433910665451231	0.2775752	0.33910665
170	RB_03_145_HFNFVBBXY	0.2707599396074484	0.011278414610828682	207.0	RB_03	RB	0.2634457611668186	0.29170465	0.33956245
171	RB_03_168_HFNFVBBXY	0.25648414985590773	0.010335338110397694	112.0	RB_03	RB	0.2538742023701003	0.26754785	0.24339107
172	RB_03_185_HFNFVBBXY	0.2682464454976303	0.010013510309342721	84.0	RB_03	RB	0.26390154968094803	0.27939835	0.2579763
173	RB_03_201_HFNFVBBXY	0.21480144404332135	0.008746236932046807	532.0	RB_03	RB	0.2123974475843209	0.2821331	0.1627165
174	RB_06_10_HFNFVBBXY	0.18554216867469875	0.010177795019482593	534.0	RB_06	RB	0.1932543299908842	0.2579763	0.14038286
175	RB_06_15_HFNFVBBXY	0.2698334965719883	0.009929532354073501	152.0	RB_06	RB	0.26618049225159524	0.2821331	0.25113946
176	RB_06_22_HFNFVBBXY	0.2748652621264086	0.009724004279988041	153.0	RB_06	RB	0.2702825888787602	0.28714678	0.25569737
177	RB_06_23_HFNFVBBXY	0.22277972905168086	0.009974486700551304	201.0	RB_06	RB	0.22060164083865086	0.2506837	0.29398358
178	RB_06_24_HFNFVBBXY	0.30246913580246915	0.010922720079659063	88.0	RB_06	RB	0.29762989972652687	0.31221512	0.2903373
179	RB_06_25_HFNFVBBXY	0.2614347616754935	0.010428526055419407	117.0	RB_06	RB	0.25524156791248864	0.2702826	0.3008204
180	RB_06_27_HFNFVBBXY	0.23579394583112057	0.011148442394402753	311.0	RB_06	RB	0.2370100273473108	0.26891524	0.2023701
181	RB_06_30_HFNFVBBXY	0.3055169216504404	0.008307187284022697	37.0	RB_06	RB	0.3044667274384686	0.31130356	0.30036464
182	RB_06_34_HFNFVBBXY	0.24848484848484853	0.01028449377867399	379.0	RB_06	RB	0.2411121239744758	0.28258887	0.20556062
183	RB_06_36_HFNFVBBXY	0.2547332185886403	0.009948047388233476	451.0	RB_06	RB	0.24247948951686416	0.3008204	0.40793073
184	RB_06_39_HFNFVBBXY	0.24625267665952888	0.009647035205866121	326.0	RB_06	RB	0.23928896991795812	0.27985415	0.35824978
185	RB_06_45_HFNFVBBXY	0.20796228391828186	0.009047679255878438	285.0	RB_06	RB	0.20510483135824975	0.23974475	0.18094803
186	RB_06_47_HFNFVBBXY	0.27217553688141927	0.009474492890506265	52.0	RB_06	RB	0.26891522333637197	0.27711943	0.2894257
187	RB_06_48_HFNFVBBXY	0.27228207639569046	0.009910268369798083	152.0	RB_06	RB	0.26663628076572465	0.28851414	0.25341842
188	RB_06_4_HFNFVBBXY	0.2547528517110266	0.009142673115621204	90.0	RB_06	RB	0.2538742023701003	0.26526892	0.24430265
189	RB_06_50_HFNFVBBXY	0.2669856459330143	0.009663224018195735	104.0	RB_06	RB	0.2607110300820419	0.27894258	0.25432998
190	RB_06_54_HFNFVBBXY	0.2787674530572942	0.00948227555126691	117.0	RB_06	RB	0.27301731996353695	0.2894257	0.3172288
191	RB_06_5_HFNFVBBXY	0.24742773150416464	0.00974480737784505	153.0	RB_06	RB	0.2502278942570647	0.26572472	0.2301732
192	RB_06_64_HFNFVBBXY	0.2268140317155214	0.009864664242924797	113.0	RB_06	RB	0.2256153144940748	0.24156791	0.21513218
193	RB_06_65_HFNFVBBXY	0.23971559167089895	0.009706691137435181	225.0	RB_06	RB	0.23108477666362803	0.26481313	0.3176846
194	RB_06_67_HFNFVBBXY	0.2451081359423275	0.009972508409439536	252.0	RB_06	RB	0.2388331814038286	0.2702826	0.33181405
195	RB_06_69_HFNFVBBXY	0.3158383650719926	0.010121420838721166	41.0	RB_06	RB	0.3108477666362808	0.31905195	0.3099362
